num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3939	4607.804590	85.602167	-25.052501	2.339726	31.831276
3941	4609.867374	85.365475	-24.620805	2.331531	32.340675
3943	4611.930708	85.237078	-24.220519	2.322351	34.566957
3945	4613.992879	85.425803	-23.936901	2.312830	37.838412
3947	4616.052540	85.907794	-23.612352	2.303270	41.086680
3949	4618.110002	86.122773	-23.302235	2.298332	47.375635
3953	4622.219103	86.050493	-22.540508	2.298314	49.398832
3955	4624.275683	85.886843	-22.148715	2.299779	45.499989
3957	4626.338328	85.326343	-21.871372	2.293630	42.324707
3959	4628.405320	84.699306	-21.351207	2.279408	41.108021
3961	4630.471266	84.495653	-20.844880	2.267236	45.265381
3963	4632.532082	85.123078	-20.546046	2.258703	50.866377
3965	4634.589099	85.676417	-20.270953	2.254876	57.414037
3969	4638.699300	85.490902	-19.625588	2.251391	60.047546
3971	4640.755665	85.336042	-19.296603	2.248749	61.645147
3973	4642.812544	85.155536	-18.982562	2.245971	59.490642
3975	4644.871419	84.993974	-18.602590	2.242288	57.154831
3977	4646.930891	84.911600	-18.200109	2.237701	57.938642
3979	4648.991381	84.736188	-17.844435	2.233300	56.488037
3981	4651.051354	84.663528	-17.479846	2.228314	55.427137
3983	4653.111295	84.585636	-17.126526	2.223983	56.517687
3985	4655.171220	84.531799	-16.753626	2.219004	58.071214
3989	4659.289148	84.367292	-16.056747	2.209659	60.712056
3991	4661.347857	84.316956	-15.728845	2.204331	60.805387
3995	4665.464568	84.063067	-15.044947	2.194907	66.466406
3997	4667.523918	83.913047	-14.706144	2.190457	69.004197
3999	4669.583178	83.858835	-14.350236	2.186528	69.225393
4001	4671.642794	83.681595	-14.041914	2.182989	70.072815
4003	4673.703520	83.617561	-13.707325	2.180275	69.109700
4005	4675.764186	83.533893	-13.436308	2.178123	71.719057
4007	4677.825358	83.488541	-13.122505	2.176268	71.793639
4011	4681.947846	83.465988	-12.552099	2.174240	74.358470
4013	4684.008327	83.466519	-12.308397	2.173562	71.795297
4017	4688.127733	82.542935	-11.819905	2.173669	68.923700
4019	4690.185191	82.372846	-11.558412	2.169785	68.691620
4023	4694.296621	82.812865	-11.102393	2.158601	71.970963
4025	4696.352432	82.772608	-10.831240	2.153728	69.372165
4029	4700.466970	82.131193	-10.256113	2.148224	71.466312
4031	4702.525477	82.180037	-9.953859	2.147079	70.758378
4035	4706.644282	81.851951	-9.417438	2.145021	71.280828
4037	4708.704853	81.715258	-9.154960	2.142661	70.059850
4039	4710.766678	81.410706	-8.885434	2.139541	70.802817
4043	4714.889545	80.557538	-8.379040	2.132334	71.020908
4045	4716.949492	80.748042	-8.139671	2.128609	72.382013
4047	4719.008343	81.011896	-7.899427	2.125857	71.370670
4051	4723.122548	81.560944	-7.472421	2.120421	73.767690
4053	4725.179786	81.400839	-7.242883	2.119318	74.958519
4057	4729.293603	81.011692	-6.851771	2.117260	73.255151
4059	4731.351066	80.866417	-6.606952	2.114761	74.950689
4061	4733.408917	80.704076	-6.395434	2.113447	78.345175
4065	4737.525150	80.346669	-5.982166	2.110738	72.688083
4067	4739.583538	80.238391	-5.752475	2.108849	75.844818
4071	4743.701438	79.938046	-5.342050	2.106455	74.381418
4073	4745.760410	79.865044	-5.132862	2.105002	73.003124
4077	4749.879586	79.626427	-4.752305	2.104959	70.364465
4079	4751.939525	79.620248	-4.540904	2.104544	74.180583
4083	4756.059197	79.099991	-4.151038	2.106639	75.640393
4085	4758.117976	78.560282	-3.950649	2.108615	71.171031
4089	4762.232914	78.126976	-3.658817	2.106211	71.150550
4091	4764.288823	78.314894	-3.450011	2.102898	70.731455
4095	4768.400918	78.554718	-3.057145	2.097287	68.203285
4097	4770.457462	78.362460	-2.846021	2.095777	73.991617
4101	4774.573025	77.938934	-2.420931	2.095074	69.234807
4103	4776.631982	77.796945	-2.210114	2.094914	71.004582
4107	4780.752244	77.490836	-1.813523	2.093031	69.668447
4109	4782.813059	76.908088	-1.612759	2.091837	68.239925
4113	4786.934340	76.390027	-1.215954	2.088183	67.169912
4115	4788.993716	76.364221	-1.051482	2.087003	67.438521
4119	4793.109684	77.003661	-0.690248	2.083963	68.461398
4121	4795.166836	77.147252	-0.531086	2.082895	68.017209
4125	4799.281220	76.781040	-0.203309	2.083148	68.627350
4127	4801.338146	76.613756	-0.030932	2.083246	67.953013
4131	4805.454263	76.307886	0.302244	2.082714	64.939278
4133	4807.512680	76.155998	0.458131	2.083109	66.873191
4135	4809.571530	76.030781	0.628831	2.083092	68.534504
4139	4813.689607	75.779344	0.928873	2.084395	66.834435
4141	4815.749080	75.675846	1.076016	2.085511	69.561515
4143	4817.808555	75.283045	1.255984	2.087675	64.506459
4147	4821.925423	74.411506	1.570319	2.091799	64.789833
4149	4823.982258	74.287025	1.690664	2.091522	63.759112
4153	4828.094800	74.403459	1.976720	2.087803	63.160885
4155	4830.150647	74.631484	2.156176	2.086350	62.610942
4157	4832.207099	74.624932	2.326060	2.084917	65.549722
4161	4836.321843	74.172917	2.679771	2.085262	62.092775
4163	4838.380160	74.034091	2.851299	2.085838	63.305584
4167	4842.499629	73.643520	3.180758	2.086262	62.124328
4169	4844.560258	73.182129	3.347966	2.086468	63.534484
4173	4848.680922	72.543000	3.664818	2.085291	63.486288
4175	4850.739836	72.505453	3.804424	2.085155	59.854311
