time (s)	det(V)
4609.719511	0.457659	
4609.721511	0.488495	
4609.723510	0.521668	
4609.725511	0.532148	
4609.727511	0.561969	
4609.729511	0.581963	
4609.731511	0.592836	
4609.733512	0.617999	
4609.737510	0.632518	
4609.739511	0.693118	
4609.741511	0.718871	
4609.743510	0.750959	
4609.745511	0.777316	
4609.747510	0.790867	
4609.751510	0.814492	
4609.753510	0.857619	
4609.755511	0.889674	
4609.759511	0.918869	
4609.761511	0.977408	
4609.763511	0.993590	
4609.765513	1.009790	
4609.767510	1.039688	
4609.771510	1.055153	
4609.773510	1.108699	
4609.777512	1.121732	
4609.779512	1.170600	
4609.781510	1.183419	
4609.783511	1.205287	
4609.785511	1.209847	
4609.789510	1.227986	
4609.791511	1.251040	
4609.793510	1.268577	
4609.795511	1.276015	
4609.797512	1.275927	
4609.799511	1.285828	
4609.801511	1.287984	
4609.803511	1.284235	
4609.805511	1.289989	
4609.807511	1.292283	
4609.809511	1.281846	
4609.811511	1.275012	
4609.815510	1.252928	
4609.817511	1.225137	
4609.819510	1.199849	
4609.821510	1.185466	
4609.823510	1.170293	
4609.825510	1.134321	
4609.827510	1.116885	
4609.829510	1.070484	
4609.831511	1.020041	
4609.833514	0.987340	
4609.835511	0.934284	
4609.839511	0.887581	
4609.841511	0.799795	
4609.843512	0.753474	
4609.845511	0.699529	
4609.847511	0.626815	
4609.851510	0.570152	
4609.853511	0.435019	
4609.855511	0.384606	
4609.857511	0.326908	
4609.859512	0.260761	
4609.861511	0.201506	
4609.863511	0.126313	
4609.865511	0.052856	
4609.867511	-0.009360	
4609.869511	-0.087502	
4609.871511	-0.152183	
4609.873510	-0.211684	
4609.877511	-0.285885	
4609.879512	-0.403671	
4609.881511	-0.461919	
4609.883511	-0.513741	
4609.885511	-0.582479	
4609.887511	-0.636202	
4609.891510	-0.680227	
4609.893511	-0.778891	
4609.895511	-0.829653	
4609.899511	-0.876377	
4609.901511	-0.951744	
4609.903511	-0.992414	
4609.905511	-1.017359	
4609.907510	-1.042078	
4609.911510	-1.069831	
4609.915510	-1.126493	
4609.917511	-1.168011	
4609.919510	-1.187186	
4609.921511	-1.190787	
4609.923511	-1.197618	
4609.925511	-1.210661	
4609.927511	-1.207207	
4609.929511	-1.215976	
4609.931511	-1.233711	
4609.933511	-1.226437	
4609.937510	-1.236701	
4609.939511	-1.221347	
4609.941510	-1.215264	
4609.943512	-1.198628	
4609.945511	-1.190717	
4609.947511	-1.183499	
4609.949510	-1.176204	
4609.951511	-1.164386	
4609.953511	-1.161610	
4609.957511	-1.135180	
4609.959511	-1.100950	
4609.961511	-1.073329	
4609.963510	-1.061393	
4609.965511	-1.047946	
4609.967511	-1.023462	
4609.969511	-1.013755	
4609.971511	-0.980625	
4609.973511	-0.958252	
4609.977511	-0.943391	
4609.979512	-0.892351	
4609.981511	-0.872229	
4609.983512	-0.838967	
4609.985511	-0.826248	
4609.987511	-0.801323	
4609.989511	-0.767428	
4609.991513	-0.751484	
4609.993510	-0.724308	
4609.995511	-0.699076	
4609.999512	-0.685965	
4610.001511	-0.638646	
4610.003513	-0.619931	
4610.005511	-0.586513	
4610.007510	-0.560001	
4610.009511	-0.540719	
4610.013510	-0.510447	
4610.015513	-0.493226	
4610.017511	-0.467460	
4610.021511	-0.461638	
4610.023511	-0.405994	
4610.025511	-0.396391	
4610.027515	-0.368956	
4610.029511	-0.353231	
4610.031511	-0.349828	
4610.035511	-0.327215	
4610.039511	-0.313263	
4610.041511	-0.272903	
4610.043511	-0.253833	
4610.045511	-0.237868	
4610.047510	-0.235315	
4610.051510	-0.224304	
4610.053511	-0.215236	
4610.055511	-0.194510	
4610.057511	-0.179489	
4610.059512	-0.172023	
4610.061511	-0.150789	
4610.063511	-0.149558	
4610.065511	-0.150203	
4610.067511	-0.135018	
4610.069511	-0.138541	
4610.071511	-0.128917	
4610.073511	-0.116232	
4610.075510	-0.113471	
4610.079511	-0.096851	
4610.081511	-0.092413	
4610.083511	-0.078078	
4610.085511	-0.080322	
4610.087511	-0.079121	
4610.091510	-0.065542	
4610.093510	-0.058398	
4610.095511	-0.052803	
4610.099511	-0.055483	
4610.101511	-0.044314	
4610.103511	-0.044927	
4610.105511	-0.034860	
4610.107510	-0.025326	
4610.111510	-0.025376	
4610.113511	-0.025046	
4610.117512	-0.030376	
4610.119510	-0.024562	
4610.121510	-0.014452	
4610.123511	-0.006886	
4610.125511	-0.009312	
4610.129510	0.004441	
4610.131511	-0.012475	
4610.133511	-0.005695	
4610.137511	-0.010403	
4610.139510	0.002672	
4610.141512	0.003965	
4610.143511	0.009437	
4610.145511	0.013341	
4610.147511	0.008381	
4610.151511	0.002634	
4610.155511	-0.004785	
4610.157511	0.019282	
4610.159511	0.016838	
4610.161510	0.021990	
4610.163510	0.016612	
4610.167510	0.013825	
4610.169511	0.000536	
4610.171511	0.009250	
4610.173511	0.014990	
4610.175511	0.010236	
4610.177513	0.024966	
4610.179510	0.022443	
4610.181510	0.012931	
4610.183511	0.020591	
4610.185511	0.012259	
4610.187511	0.013191	
4610.189511	0.016674	
4610.193511	0.012943	
4610.195511	0.021055	
4610.197510	0.020210	
4610.199510	0.015280	
4610.201512	0.016147	
4610.203510	0.010691	
4610.207510	0.020487	
4610.209511	0.016035	
4610.211511	0.021856	
4610.215511	0.016986	
4610.217511	0.019697	
4610.219511	0.010982	
4610.221510	0.019075	
4610.223511	0.025924	
4610.227510	0.017528	
4610.229511	0.019346	
4610.233511	0.009406	
4610.235510	0.016173	
4610.237511	0.014257	
4610.239511	0.025646	
4610.241510	0.018320	
4610.245510	0.023676	
4610.247511	0.010805	
4610.249510	0.007683	
4610.251511	0.013123	
4610.253511	0.006806	
4610.255511	0.020480	
4610.257510	0.023813	
4610.259511	0.015809	
4610.261511	0.026099	
4610.263510	0.020336	
4610.265511	0.007043	
4610.267511	0.012407	
4610.271511	0.000659	
4610.273511	0.014215	
4610.275511	0.009924	
4610.277511	0.022974	
4610.279511	0.020288	
4610.281511	0.012466	
4610.285510	0.020564	
4610.287510	0.002928	
4610.289511	0.010242	
4610.293511	0.009876	
4610.295511	0.022584	
4610.297511	0.010696	
4610.299511	0.006665	
4610.301511	0.012217	
4610.305510	0.005127	
4610.307510	0.012554	
4610.311511	0.008104	
4610.313511	0.013659	
4610.315511	0.006123	
4610.317510	0.011430	
4610.319510	-0.001260	
4610.323510	0.010444	
4610.325510	-0.001259	
4610.327512	0.011445	
4610.331511	0.010421	
4610.333512	0.010964	
4610.335511	0.000878	
4610.337511	0.003874	
4610.339511	0.009438	
4610.341511	0.010603	
4610.345511	0.007092	
4610.349512	-0.000346	
4610.351512	0.007604	
4610.353512	-0.003716	
4610.355511	0.005986	
4610.357511	0.009895	
4610.361510	0.008057	
4610.363510	-0.001602	
4610.365511	-0.007971	
4610.367511	0.003124	
4610.369512	-0.007992	
4610.371511	0.001824	
4610.373511	0.005343	
4610.375511	0.000437	
4610.377511	0.012767	
4610.379511	0.006891	
4610.381511	-0.003836	
4610.383510	-0.000851	
4610.387511	-0.009019	
4610.389511	-0.001135	
4610.391511	0.003171	
4610.393510	0.005717	
4610.395512	0.012147	
4610.397511	-0.002887	
4610.401510	-0.003095	
4610.403511	-0.015064	
4610.405511	-0.005087	
4610.409511	-0.002774	
4610.411511	0.007006	
4610.413511	0.000195	
4610.415510	-0.007793	
4610.417512	0.000559	
4610.421510	-0.010240	
4610.423511	-0.007002	
4610.427511	-0.010796	
4610.429513	-0.000954	
4610.431511	-0.004211	
4610.433511	-0.002919	
4610.435511	-0.009123	
4610.439510	-0.008125	
4610.441511	-0.007308	
4610.443511	-0.007701	
4610.445511	-0.001367	
4610.447511	-0.010116	
4610.449511	-0.010282	
4610.451511	-0.007160	
4610.453511	-0.015136	
4610.455510	-0.003916	
4610.457510	0.000067	
4610.459511	-0.011902	
4610.461512	-0.000242	
4610.465511	-0.009836	
4610.467511	-0.007724	
4610.469511	-0.014984	
4610.471511	-0.009740	
4610.473511	-0.001615	
4610.475511	-0.014285	
4610.479511	-0.001223	
4610.481511	-0.020242	
4610.483510	-0.012449	
4610.487511	-0.016842	
4610.489511	-0.005840	
4610.491511	-0.004514	
4610.493511	-0.006324	
4610.495511	0.003010	
4610.499511	-0.010875	
4610.501511	-0.015244	
4610.505511	-0.021290	
4610.507511	-0.004207	
4610.509511	-0.011031	
